category	sample	sum_abund
Beta-lactam	FD208	2.29e-08
Phenicol	FD208	4.80e-10
Lincosamide	FD208	1.98e-08
Pleuromutilin	FD208	2.66e-11
Glycopeptide	FD208	2.56e-09
Coumarin	FD208	2.33e-08
Rifampin	FD208	7.12e-08
Sulfonamides	FD208	2.75e-09
Fluoroquinolones	FD208	1.15e-07
Metals	FD208	5.43e-06
Biocides	FD208	1.21e-06
Fluoroquinolone	FD209	7.28e-11
Aminoglycoside	FD209	1.45e-09
Lipopeptide	FD209	5.31e-11
Tetracycline derivative	FD209	2.00e-07
Streptogramin	FD209	1.13e-09
Macrolide	FD209	1.21e-09
Diaminopyrimidine	FD209	9.30e-09
Nucleoside	FD209	1.00e-09
Beta-lactam	FD209	3.36e-08
Phenicol	FD209	3.07e-10
Lincosamide	FD209	1.39e-09
Glycopeptide	FD209	2.42e-10
Coumarin	FD209	1.44e-08
Rifampin	FD209	6.50e-08
Sulfonamides	FD209	2.54e-09
Fluoroquinolones	FD209	1.14e-07
Metals	FD209	5.27e-06
Biocides	FD209	1.17e-06
Fluoroquinolone	FD270	7.03e-09
Aminoglycoside	FD270	3.60e-09
Lipopeptide	FD270	4.67e-09
Peptide	FD270	5.09e-10
Tetracycline derivative	FD270	1.39e-07
Streptogramin	FD270	4.04e-09
Macrolide	FD270	7.20e-09
Sulfonamide	FD270	7.17e-10
Aminocoumarin	FD270	2.73e-09
Rifamycin	FD270	1.31e-09
Diaminopyrimidine	FD270	3.25e-09
Nucleoside	FD270	2.89e-10
Beta-lactam	FD270	2.28e-07
Phenicol	FD270	3.53e-09
Lincosamide	FD270	3.74e-09
Glycopeptide	FD270	2.14e-10
Coumarin	FD270	3.90e-09
Rifampin	FD270	1.05e-07
Sulfonamides	FD270	5.01e-10
Fluoroquinolones	FD270	1.31e-07
Metals	FD270	3.99e-06
Biocides	FD270	1.25e-06
Fluoroquinolone	FD271	8.07e-09
Aminoglycoside	FD271	2.79e-09
Lipopeptide	FD271	5.43e-09
Peptide	FD271	1.12e-09
Tetracycline derivative	FD271	9.45e-08
Streptogramin	FD271	4.03e-09
Macrolide	FD271	6.88e-09
Aminocoumarin	FD271	2.97e-09
Rifamycin	FD271	9.93e-10
Diaminopyrimidine	FD271	1.92e-08
Beta-lactam	FD271	7.40e-08
Phenicol	FD271	5.26e-09
Lincosamide	FD271	4.35e-09
Glycopeptide	FD271	1.53e-10
Coumarin	FD271	3.71e-08
Rifampin	FD271	1.40e-07
Sulfonamides	FD271	5.44e-09
Fluoroquinolones	FD271	2.17e-07
Metals	FD271	5.19e-06
Biocides	FD271	1.34e-06
Aminoglycoside	FD272	1.63e-08
Lipopeptide	FD272	4.70e-11
Tetracycline derivative	FD272	1.08e-07
Streptogramin	FD272	9.15e-09
Macrolide	FD272	9.29e-09
Sulfonamide	FD272	6.71e-11
Diaminopyrimidine	FD272	1.71e-09
Nucleoside	FD272	1.01e-10
Beta-lactam	FD272	9.18e-08
Phenicol	FD272	3.58e-09
Lincosamide	FD272	1.02e-08
Glycopeptide	FD272	2.01e-10
Coumarin	FD272	1.61e-08
Rifampin	FD272	7.53e-08
Sulfonamides	FD272	1.81e-08
Fluoroquinolones	FD272	1.23e-07
Metals	FD272	4.50e-06
Biocides	FD272	1.14e-06
Fluoroquinolone	FD273	1.91e-09
Aminoglycoside	FD273	4.65e-09
Lipopeptide	FD273	1.18e-09
Peptide	FD273	2.79e-10
Tetracycline derivative	FD273	1.11e-07
Streptogramin	FD273	3.21e-08
Macrolide	FD273	3.27e-08
Sulfonamide	FD273	3.52e-11
Aminocoumarin	FD273	4.12e-10
Rifamycin	FD273	2.90e-10
Diaminopyrimidine	FD273	5.97e-09
Beta-lactam	FD273	3.26e-08
Phenicol	FD273	5.09e-09
Lincosamide	FD273	3.18e-08
Glycopeptide	FD273	1.28e-10
Coumarin	FD273	2.69e-08
Rifampin	FD273	1.23e-07
Sulfonamides	FD273	1.20e-09
Fluoroquinolones	FD273	2.00e-07
Metals	FD273	5.49e-06
Biocides	FD273	1.46e-06
Fluoroquinolone	FD274	3.20e-10
Aminoglycoside	FD274	4.71e-09
Lipopeptide	FD274	2.76e-10
Tetracycline derivative	FD274	1.45e-07
Streptogramin	FD274	8.42e-09
Macrolide	FD274	9.18e-09
Aminocoumarin	FD274	4.60e-11
Rifamycin	FD274	4.56e-11
Diaminopyrimidine	FD274	1.28e-08
Nucleoside	FD274	7.26e-10
Beta-lactam	FD274	5.08e-08
Phenicol	FD274	2.06e-09
Lincosamide	FD274	8.33e-09
Glycopeptide	FD274	5.42e-10
Coumarin	FD274	3.28e-08
Rifampin	FD274	1.04e-07
Sulfonamides	FD274	6.21e-09
Fluoroquinolones	FD274	2.05e-07
Metals	FD274	5.27e-06
Biocides	FD274	1.16e-06
Fluoroquinolone	FD275	2.10e-10
Aminoglycoside	FD275	1.62e-09
Lipopeptide	FD275	3.25e-10
Peptide	FD275	7.00e-11
Tetracycline derivative	FD275	8.81e-08
Streptogramin	FD275	4.25e-09
Macrolide	FD275	5.08e-09
Aminocoumarin	FD275	2.30e-10
Rifamycin	FD275	1.91e-10
Diaminopyrimidine	FD275	6.96e-09
Beta-lactam	FD275	5.14e-08
Phenicol	FD275	5.60e-10
Lincosamide	FD275	4.09e-09
Glycopeptide	FD275	6.13e-10
Coumarin	FD275	5.03e-09
Rifampin	FD275	8.54e-08
Sulfonamides	FD275	2.92e-09
Fluoroquinolones	FD275	1.26e-07
Metals	FD275	5.35e-06
Biocides	FD275	1.25e-06
Fluoroquinolone	FD276	8.28e-09
Aminoglycoside	FD276	6.55e-09
Lipopeptide	FD276	4.39e-09
Peptide	FD276	1.53e-09
Tetracycline derivative	FD276	1.75e-07
Streptogramin	FD276	6.44e-08
Macrolide	FD276	7.59e-08
Sulfonamide	FD276	1.71e-10
Aminocoumarin	FD276	3.60e-09
Rifamycin	FD276	1.37e-09
Diaminopyrimidine	FD276	3.78e-09
Nucleoside	FD276	5.66e-10
Beta-lactam	FD276	4.44e-08
Phenicol	FD276	1.01e-08
Lincosamide	FD276	5.93e-08
Glycopeptide	FD276	3.49e-09
Coumarin	FD276	2.21e-08
Rifampin	FD276	1.16e-07
Sulfonamides	FD276	5.01e-09
Fluoroquinolones	FD276	2.09e-07
Metals	FD276	5.16e-06
Biocides	FD276	1.76e-06
Tetracycline derivative	FD277	8.68e-08
Streptogramin	FD277	1.14e-07
Macrolide	FD277	1.18e-07
Beta-lactam	FD277	2.65e-07
Lincosamide	FD277	1.14e-07
Rifampin	FD277	1.77e-07
Fluoroquinolones	FD277	1.57e-07
Metals	FD277	3.63e-06
Biocides	FD277	1.22e-06
Fluoroquinolone	FD278	2.71e-07
Aminoglycoside	FD278	5.79e-08
Lipopeptide	FD278	1.72e-07
Peptide	FD278	3.44e-08
Tetracycline derivative	FD278	1.90e-07
Streptogramin	FD278	1.01e-08
Macrolide	FD278	1.45e-07
Aminocoumarin	FD278	1.26e-07
Rifamycin	FD278	3.89e-08
Beta-lactam	FD278	2.58e-07
Phenicol	FD278	3.89e-08
Lincosamide	FD278	1.01e-08
Glycopeptide	FD278	5.28e-09
Coumarin	FD278	4.12e-09
Rifampin	FD278	5.84e-08
Sulfonamides	FD278	4.68e-09
Fluoroquinolones	FD278	1.55e-07
Metals	FD278	1.54e-05
Biocides	FD278	7.98e-06
Fluoroquinolone	FD279	8.92e-09
Aminoglycoside	FD279	9.44e-09
Lipopeptide	FD279	9.97e-11
Peptide	FD279	2.73e-10
Tetracycline derivative	FD279	1.66e-07
Streptogramin	FD279	5.45e-09
Macrolide	FD279	5.81e-09
Sulfonamide	FD279	8.95e-12
Aminocoumarin	FD279	6.12e-10
Rifamycin	FD279	8.18e-09
Diaminopyrimidine	FD279	1.08e-08
Nucleoside	FD279	3.10e-10
Beta-lactam	FD279	2.17e-08
Phenicol	FD279	1.47e-08
Lincosamide	FD279	5.98e-09
Glycopeptide	FD279	3.73e-10
Coumarin	FD279	2.19e-08
Rifampin	FD279	9.63e-08
Sulfonamides	FD279	4.00e-09
Fluoroquinolones	FD279	1.85e-07
Metals	FD279	6.78e-06
Biocides	FD279	2.21e-06
Fluoroquinolone	FD371	2.61e-09
Aminoglycoside	FD371	6.69e-09
Lipopeptide	FD371	2.35e-09
Peptide	FD371	7.71e-10
Tetracycline derivative	FD371	1.29e-07
Streptogramin	FD371	1.65e-08
Macrolide	FD371	1.90e-08
Sulfonamide	FD371	1.47e-09
Aminocoumarin	FD371	1.13e-09
Rifamycin	FD371	2.13e-10
Diaminopyrimidine	FD371	3.07e-09
Beta-lactam	FD371	1.77e-08
Phenicol	FD371	1.03e-09
Lincosamide	FD371	1.72e-08
Glycopeptide	FD371	9.59e-11
Coumarin	FD371	4.10e-08
Rifampin	FD371	1.35e-07
Sulfonamides	FD371	1.27e-08
Fluoroquinolones	FD371	1.87e-07
Metals	FD371	6.04e-06
Biocides	FD371	1.40e-06
Fluoroquinolone	FD372	8.18e-10
Aminoglycoside	FD372	3.38e-09
Lipopeptide	FD372	2.95e-10
Peptide	FD372	2.57e-10
Tetracycline derivative	FD372	1.46e-07
Streptogramin	FD372	2.95e-08
Macrolide	FD372	3.55e-08
Sulfonamide	FD372	1.03e-09
Aminocoumarin	FD372	3.03e-10
Rifamycin	FD372	2.12e-10
Diaminopyrimidine	FD372	7.40e-09
Nucleoside	FD372	1.04e-09
Beta-lactam	FD372	5.42e-08
Phenicol	FD372	2.34e-10
Lincosamide	FD372	2.36e-08
Glycopeptide	FD372	5.85e-09
Coumarin	FD372	2.70e-08
Rifampin	FD372	1.14e-07
Sulfonamides	FD372	2.66e-09
Fluoroquinolones	FD372	2.30e-07
Metals	FD372	5.28e-06
Biocides	FD372	1.50e-06
Fluoroquinolone	FD374	9.67e-10
Aminoglycoside	FD374	3.53e-09
Lipopeptide	FD374	7.75e-10
Peptide	FD374	1.80e-10
Tetracycline derivative	FD374	1.11e-07
Streptogramin	FD374	4.34e-08
Macrolide	FD374	4.62e-08
Sulfonamide	FD374	2.36e-08
Aminocoumarin	FD374	4.19e-10
Rifamycin	FD374	9.93e-11
Diaminopyrimidine	FD374	2.38e-08
Nucleoside	FD374	6.79e-10
Beta-lactam	FD374	6.15e-08
Phenicol	FD374	1.10e-09
Lincosamide	FD374	2.75e-07
Glycopeptide	FD374	3.68e-10
Coumarin	FD374	2.84e-08
Rifampin	FD374	1.31e-07
Sulfonamides	FD374	9.50e-09
Fluoroquinolones	FD374	2.19e-07
Metals	FD374	5.27e-06
Biocides	FD374	1.26e-06
Fluoroquinolone	FD375	1.53e-08
Aminoglycoside	FD375	3.87e-09
Lipopeptide	FD375	9.35e-09
Peptide	FD375	2.01e-09
Tetracycline derivative	FD375	1.53e-07
Streptogramin	FD375	4.90e-09
Macrolide	FD375	1.18e-08
Aminocoumarin	FD375	4.95e-09
Rifamycin	FD375	1.73e-09
Diaminopyrimidine	FD375	3.97e-09
Nucleoside	FD375	1.15e-09
Beta-lactam	FD375	6.11e-08
Phenicol	FD375	3.30e-09
Lincosamide	FD375	5.15e-09
Glycopeptide	FD375	9.39e-10
Coumarin	FD375	4.29e-08
Rifampin	FD375	6.52e-08
Sulfonamides	FD375	1.18e-09
Fluoroquinolones	FD375	1.33e-07
Metals	FD375	6.24e-06
Biocides	FD375	1.62e-06
Fluoroquinolone	FD376	1.26e-10
Aminoglycoside	FD376	8.13e-10
Tetracycline derivative	FD376	1.33e-07
Streptogramin	FD376	3.08e-08
Macrolide	FD376	3.10e-08
Diaminopyrimidine	FD376	1.35e-08
Nucleoside	FD376	1.52e-10
Beta-lactam	FD376	9.82e-08
Phenicol	FD376	8.53e-09
Lincosamide	FD376	3.17e-08
Coumarin	FD376	2.68e-08
Rifampin	FD376	1.45e-07
Sulfonamides	FD376	3.53e-09
Fluoroquinolones	FD376	2.53e-07
Metals	FD376	4.72e-06
Biocides	FD376	1.07e-06
Fluoroquinolone	FD380	1.96e-10
Aminoglycoside	FD380	2.93e-09
Lipopeptide	FD380	1.69e-10
Tetracycline derivative	FD380	1.48e-07
Streptogramin	FD380	6.48e-09
Macrolide	FD380	7.15e-09
Diaminopyrimidine	FD380	1.02e-08
Nucleoside	FD380	2.65e-10
Beta-lactam	FD380	4.64e-09
Phenicol	FD380	3.50e-10
Lincosamide	FD380	2.14e-08
Glycopeptide	FD380	1.44e-10
Coumarin	FD380	1.93e-08
Rifampin	FD380	6.43e-08
Sulfonamides	FD380	2.45e-09
Fluoroquinolones	FD380	9.16e-08
Metals	FD380	5.40e-06
Biocides	FD380	1.22e-06
Fluoroquinolone	FD381	9.54e-11
Aminoglycoside	FD381	3.13e-09
Lipopeptide	FD381	1.08e-10
Tetracycline derivative	FD381	1.40e-07
Streptogramin	FD381	1.34e-08
Macrolide	FD381	1.76e-08
Sulfonamide	FD381	7.77e-10
Aminocoumarin	FD381	1.90e-11
Diaminopyrimidine	FD381	2.72e-08
Nucleoside	FD381	2.18e-10
Beta-lactam	FD381	3.26e-09
Phenicol	FD381	2.16e-09
Lincosamide	FD381	1.33e-08
Coumarin	FD381	9.01e-08
Rifampin	FD381	1.29e-07
Sulfonamides	FD381	7.16e-09
Fluoroquinolones	FD381	2.23e-07
Metals	FD381	6.13e-06
Biocides	FD381	1.36e-06
Fluoroquinolone	FD382	3.56e-08
Aminoglycoside	FD382	1.91e-08
Lipopeptide	FD382	2.51e-08
Peptide	FD382	4.02e-09
Tetracycline derivative	FD382	2.64e-07
Streptogramin	FD382	2.91e-08
Macrolide	FD382	7.80e-08
Sulfonamide	FD382	2.29e-10
Aminocoumarin	FD382	1.60e-08
Rifamycin	FD382	6.35e-09
Diaminopyrimidine	FD382	5.03e-09
Nucleoside	FD382	4.56e-10
Beta-lactam	FD382	1.05e-07
Phenicol	FD382	6.50e-09
Lincosamide	FD382	3.41e-08
Glycopeptide	FD382	1.20e-09
Coumarin	FD382	2.92e-08
Rifampin	FD382	8.36e-08
Sulfonamides	FD382	4.22e-09
Fluoroquinolones	FD382	1.71e-07
Metals	FD382	6.79e-06
Biocides	FD382	2.26e-06
Fluoroquinolone	FD383	2.10e-09
Aminoglycoside	FD383	8.95e-09
Lipopeptide	FD383	1.11e-09
Peptide	FD383	1.38e-10
Tetracycline derivative	FD383	1.57e-07
Streptogramin	FD383	1.67e-08
Macrolide	FD383	1.75e-08
Aminocoumarin	FD383	8.27e-10
Rifamycin	FD383	3.06e-10
Diaminopyrimidine	FD383	4.79e-08
Nucleoside	FD383	6.27e-10
Beta-lactam	FD383	6.20e-08
Phenicol	FD383	7.96e-09
Lincosamide	FD383	1.85e-08
Glycopeptide	FD383	5.15e-10
Coumarin	FD383	5.22e-08
Rifampin	FD383	9.59e-08
Sulfonamides	FD383	1.70e-08
Fluoroquinolones	FD383	1.92e-07
Metals	FD383	5.55e-06
Biocides	FD383	1.48e-06
Fluoroquinolone	FD384	8.59e-09
Aminoglycoside	FD384	2.01e-09
Lipopeptide	FD384	5.45e-09
Peptide	FD384	1.27e-09
Tetracycline derivative	FD384	1.09e-07
Streptogramin	FD384	1.89e-09
Macrolide	FD384	5.43e-09
Aminocoumarin	FD384	3.36e-09
Rifamycin	FD384	1.17e-09
Diaminopyrimidine	FD384	1.11e-09
Nucleoside	FD384	2.03e-10
Beta-lactam	FD384	1.95e-08
Phenicol	FD384	1.61e-09
Lincosamide	FD384	6.55e-09
Glycopeptide	FD384	1.17e-09
Coumarin	FD384	3.69e-08
Rifampin	FD384	9.90e-08
Sulfonamides	FD384	1.22e-09
Fluoroquinolones	FD384	1.26e-07
Metals	FD384	5.95e-06
Biocides	FD384	1.50e-06
Fluoroquinolone	FD385	1.15e-08
Aminoglycoside	FD385	2.70e-09
Lipopeptide	FD385	6.93e-09
Peptide	FD385	1.73e-09
Tetracycline derivative	FD385	7.94e-08
Streptogramin	FD385	3.28e-09
Macrolide	FD385	7.73e-09
Sulfonamide	FD385	6.71e-10
Aminocoumarin	FD385	5.29e-09
Rifamycin	FD385	1.62e-09
Diaminopyrimidine	FD385	8.07e-09
Nucleoside	FD385	4.03e-10
Beta-lactam	FD385	1.48e-07
Phenicol	FD385	2.36e-09
Lincosamide	FD385	4.15e-09
Coumarin	FD385	2.69e-08
Rifampin	FD385	1.56e-07
Sulfonamides	FD385	1.84e-09
Fluoroquinolones	FD385	2.55e-07
Metals	FD385	5.13e-06
Biocides	FD385	1.31e-06
Fluoroquinolone	FD386	7.29e-11
Aminoglycoside	FD386	7.60e-09
Lipopeptide	FD386	1.14e-10
Tetracycline derivative	FD386	1.20e-07
Streptogramin	FD386	2.54e-08
Macrolide	FD386	2.88e-08
Sulfonamide	FD386	7.47e-10
Aminocoumarin	FD386	6.65e-11
Rifamycin	FD386	5.11e-11
Diaminopyrimidine	FD386	2.55e-08
Nucleoside	FD386	1.06e-09
Beta-lactam	FD386	1.07e-08
Phenicol	FD386	3.92e-09
Lincosamide	FD386	2.79e-08
Glycopeptide	FD386	2.63e-09
Coumarin	FD386	3.23e-08
Rifampin	FD386	1.04e-07
Sulfonamides	FD386	1.19e-08
Fluoroquinolones	FD386	1.86e-07
Metals	FD386	5.75e-06
Biocides	FD386	1.46e-06
Fluoroquinolone	FD387	5.58e-10
Aminoglycoside	FD387	2.50e-09
Lipopeptide	FD387	2.11e-10
Peptide	FD387	4.79e-10
Tetracycline derivative	FD387	2.75e-07
Streptogramin	FD387	8.14e-08
Macrolide	FD387	8.20e-08
Aminocoumarin	FD387	1.33e-10
Rifamycin	FD387	1.33e-10
Diaminopyrimidine	FD387	3.98e-09
Nucleoside	FD387	1.09e-09
Beta-lactam	FD387	9.84e-08
Phenicol	FD387	3.25e-09
Lincosamide	FD387	1.21e-07
Coumarin	FD387	5.19e-08
Rifampin	FD387	8.76e-08
Sulfonamides	FD387	2.97e-09
Fluoroquinolones	FD387	1.60e-07
Metals	FD387	5.10e-06
Biocides	FD387	1.32e-06
Fluoroquinolone	FD388	1.41e-09
Aminoglycoside	FD388	1.30e-09
Lipopeptide	FD388	5.41e-10
Peptide	FD388	1.91e-10
Tetracycline derivative	FD388	1.47e-07
Streptogramin	FD388	3.59e-09
Macrolide	FD388	4.19e-09
Sulfonamide	FD388	5.60e-10
Aminocoumarin	FD388	3.58e-10
Rifamycin	FD388	2.55e-10
Diaminopyrimidine	FD388	3.50e-09
Nucleoside	FD388	1.44e-10
Beta-lactam	FD388	2.45e-08
Phenicol	FD388	1.21e-09
Lincosamide	FD388	3.59e-09
Glycopeptide	FD388	9.91e-10
Coumarin	FD388	1.47e-08
Rifampin	FD388	7.71e-08
Sulfonamides	FD388	1.71e-09
Fluoroquinolones	FD388	1.36e-07
Metals	FD388	5.77e-06
Biocides	FD388	1.43e-06
Fluoroquinolone	FD389	8.60e-09
Aminoglycoside	FD389	7.15e-09
Lipopeptide	FD389	5.29e-09
Peptide	FD389	9.24e-10
Tetracycline derivative	FD389	3.13e-07
Streptogramin	FD389	7.19e-08
Macrolide	FD389	1.02e-07
Aminocoumarin	FD389	4.18e-09
Rifamycin	FD389	1.48e-09
Diaminopyrimidine	FD389	1.95e-09
Nucleoside	FD389	1.52e-09
Beta-lactam	FD389	5.44e-08
Phenicol	FD389	1.62e-09
Lincosamide	FD389	7.05e-08
Glycopeptide	FD389	1.12e-09
Coumarin	FD389	1.76e-08
Rifampin	FD389	8.74e-08
Sulfonamides	FD389	6.80e-09
Fluoroquinolones	FD389	1.35e-07
Metals	FD389	5.98e-06
Biocides	FD389	1.52e-06
Fluoroquinolone	FD402	3.69e-10
Aminoglycoside	FD402	2.79e-09
Lipopeptide	FD402	6.50e-11
Tetracycline derivative	FD402	1.45e-07
Streptogramin	FD402	3.34e-08
Macrolide	FD402	3.40e-08
Aminocoumarin	FD402	4.78e-11
Rifamycin	FD402	4.78e-11
Diaminopyrimidine	FD402	3.87e-09
Nucleoside	FD402	1.57e-09
Beta-lactam	FD402	3.87e-08
Phenicol	FD402	4.10e-10
Lincosamide	FD402	3.31e-08
Glycopeptide	FD402	8.09e-10
Coumarin	FD402	2.81e-08
Rifampin	FD402	1.18e-07
Sulfonamides	FD402	2.01e-08
Fluoroquinolones	FD402	1.90e-07
Metals	FD402	5.44e-06
Biocides	FD402	1.30e-06
Fluoroquinolone	FD403	3.85e-11
Aminoglycoside	FD403	2.88e-08
Tetracycline derivative	FD403	1.42e-07
Streptogramin	FD403	2.00e-08
Macrolide	FD403	2.02e-08
Sulfonamide	FD403	5.86e-10
Diaminopyrimidine	FD403	7.96e-09
Nucleoside	FD403	4.40e-10
Beta-lactam	FD403	7.19e-09
Phenicol	FD403	5.29e-09
Lincosamide	FD403	2.19e-08
Glycopeptide	FD403	7.22e-10
Coumarin	FD403	3.11e-08
Rifampin	FD403	8.56e-08
Sulfonamides	FD403	2.07e-09
Fluoroquinolones	FD403	1.63e-07
Metals	FD403	5.74e-06
Biocides	FD403	1.41e-06
Fluoroquinolone	FD40	1.38e-10
Aminoglycoside	FD40	8.93e-09
Lipopeptide	FD40	3.75e-11
Tetracycline derivative	FD40	9.32e-08
Streptogramin	FD40	8.03e-09
Macrolide	FD40	8.63e-09
Sulfonamide	FD40	1.59e-09
Aminocoumarin	FD40	8.61e-11
Rifamycin	FD40	5.00e-11
Diaminopyrimidine	FD40	1.31e-08
Nucleoside	FD40	6.84e-11
Beta-lactam	FD40	7.23e-09
Phenicol	FD40	9.69e-10
Lincosamide	FD40	8.27e-09
Glycopeptide	FD40	2.61e-10
Coumarin	FD40	1.94e-08
Rifampin	FD40	1.53e-07
Sulfonamides	FD40	6.32e-09
Fluoroquinolones	FD40	2.58e-07
Metals	FD40	4.95e-06
Biocides	FD40	1.23e-06
Fluoroquinolone	FD41	4.42e-11
Aminoglycoside	FD41	1.29e-09
Lipopeptide	FD41	3.25e-10
Peptide	FD41	9.09e-11
Tetracycline derivative	FD41	8.94e-08
Streptogramin	FD41	4.64e-09
Macrolide	FD41	4.65e-09
Aminocoumarin	FD41	2.43e-11
Rifamycin	FD41	1.19e-11
Diaminopyrimidine	FD41	6.65e-09
Nucleoside	FD41	4.82e-10
Beta-lactam	FD41	1.21e-07
Phenicol	FD41	1.92e-10
Lincosamide	FD41	6.41e-09
Glycopeptide	FD41	9.00e-11
Coumarin	FD41	2.69e-08
Rifampin	FD41	9.14e-08
Sulfonamides	FD41	1.04e-09
Fluoroquinolones	FD41	1.65e-07
Metals	FD41	4.81e-06
Biocides	FD41	1.12e-06
Fluoroquinolone	FD42	9.25e-10
Aminoglycoside	FD42	2.79e-09
Lipopeptide	FD42	3.29e-10
Peptide	FD42	1.90e-10
Tetracycline derivative	FD42	1.87e-07
Streptogramin	FD42	4.37e-08
Macrolide	FD42	5.36e-08
Aminocoumarin	FD42	1.62e-10
Rifamycin	FD42	7.02e-11
Diaminopyrimidine	FD42	1.41e-08
Nucleoside	FD42	4.80e-11
Beta-lactam	FD42	2.76e-08
Phenicol	FD42	2.33e-09
Lincosamide	FD42	4.50e-08
Glycopeptide	FD42	8.85e-10
Coumarin	FD42	1.15e-08
Rifampin	FD42	1.14e-07
Sulfonamides	FD42	3.56e-09
Fluoroquinolones	FD42	2.06e-07
Metals	FD42	5.36e-06
Biocides	FD42	1.48e-06
Fluoroquinolone	FD43	5.69e-10
Aminoglycoside	FD43	7.04e-11
Lipopeptide	FD43	3.14e-10
Peptide	FD43	3.47e-11
Tetracycline derivative	FD43	8.36e-08
Streptogramin	FD43	2.71e-10
Macrolide	FD43	5.95e-10
Aminocoumarin	FD43	3.71e-10
Rifamycin	FD43	1.82e-10
Diaminopyrimidine	FD43	1.08e-08
Beta-lactam	FD43	1.30e-08
Phenicol	FD43	8.10e-10
Lincosamide	FD43	1.54e-10
Glycopeptide	FD43	3.54e-11
Coumarin	FD43	2.09e-08
Rifampin	FD43	8.18e-08
Sulfonamides	FD43	6.46e-09
Fluoroquinolones	FD43	1.41e-07
Metals	FD43	5.31e-06
Biocides	FD43	1.29e-06
Fluoroquinolone	FD44	1.23e-11
Aminoglycoside	FD44	3.46e-10
Lipopeptide	FD44	8.59e-11
Tetracycline derivative	FD44	1.73e-07
Streptogramin	FD44	5.23e-08
Macrolide	FD44	5.24e-08
Aminocoumarin	FD44	3.76e-11
Diaminopyrimidine	FD44	4.20e-09
Nucleoside	FD44	1.42e-10
Beta-lactam	FD44	9.45e-08
Lincosamide	FD44	5.23e-08
Coumarin	FD44	1.12e-08
Rifampin	FD44	1.34e-07
Sulfonamides	FD44	3.36e-08
Fluoroquinolones	FD44	2.09e-07
Metals	FD44	5.26e-06
Biocides	FD44	1.39e-06
Fluoroquinolone	FD45	1.32e-08
Aminoglycoside	FD45	3.85e-09
Lipopeptide	FD45	1.19e-08
Peptide	FD45	1.54e-09
Tetracycline derivative	FD45	2.19e-07
Streptogramin	FD45	2.88e-08
Macrolide	FD45	3.49e-08
Aminocoumarin	FD45	5.08e-09
Rifamycin	FD45	2.36e-09
Diaminopyrimidine	FD45	7.15e-10
Nucleoside	FD45	5.59e-10
Beta-lactam	FD45	7.27e-08
Phenicol	FD45	2.36e-09
Lincosamide	FD45	2.98e-08
Glycopeptide	FD45	1.33e-09
Coumarin	FD45	2.86e-08
Rifampin	FD45	9.86e-08
Sulfonamides	FD45	7.76e-09
Fluoroquinolones	FD45	1.79e-07
Metals	FD45	5.77e-06
Biocides	FD45	1.64e-06
Fluoroquinolone	FD46	1.07e-10
Aminoglycoside	FD46	2.69e-10
Lipopeptide	FD46	1.72e-10
Tetracycline derivative	FD46	1.63e-07
Streptogramin	FD46	3.16e-08
Macrolide	FD46	3.17e-08
Aminocoumarin	FD46	1.73e-10
Diaminopyrimidine	FD46	6.76e-09
Beta-lactam	FD46	5.58e-08
Phenicol	FD46	7.84e-09
Lincosamide	FD46	3.17e-08
Glycopeptide	FD46	2.22e-10
Coumarin	FD46	6.79e-09
Rifampin	FD46	6.91e-08
Sulfonamides	FD46	1.52e-08
Fluoroquinolones	FD46	1.04e-07
Metals	FD46	5.26e-06
Biocides	FD46	1.34e-06
Fluoroquinolone	FD470	2.92e-09
Aminoglycoside	FD470	2.44e-08
Lipopeptide	FD470	2.04e-09
Peptide	FD470	3.46e-10
Tetracycline derivative	FD470	3.39e-07
Streptogramin	FD470	1.90e-07
Macrolide	FD470	2.02e-07
Sulfonamide	FD470	5.93e-09
Aminocoumarin	FD470	1.29e-09
Rifamycin	FD470	5.75e-10
Diaminopyrimidine	FD470	2.44e-09
Nucleoside	FD470	2.10e-09
Beta-lactam	FD470	3.78e-08
Phenicol	FD470	1.19e-09
Lincosamide	FD470	1.78e-07
Glycopeptide	FD470	5.19e-10
Coumarin	FD470	3.15e-08
Rifampin	FD470	1.51e-07
Sulfonamides	FD470	2.69e-09
Fluoroquinolones	FD470	2.07e-07
Metals	FD470	5.48e-06
Biocides	FD470	1.55e-06
Fluoroquinolone	FD471	2.23e-09
Aminoglycoside	FD471	9.69e-10
Lipopeptide	FD471	6.33e-10
Peptide	FD471	4.03e-10
Tetracycline derivative	FD471	1.25e-07
Streptogramin	FD471	1.27e-07
Macrolide	FD471	1.50e-07
Sulfonamide	FD471	4.71e-09
Aminocoumarin	FD471	1.08e-09
Rifamycin	FD471	3.54e-10
Diaminopyrimidine	FD471	4.15e-09
Oxazolidinone	FD471	6.31e-11
Beta-lactam	FD471	1.61e-08
Phenicol	FD471	4.46e-09
Lincosamide	FD471	8.77e-08
Pleuromutilin	FD471	6.31e-11
Glycopeptide	FD471	2.09e-09
Coumarin	FD471	2.99e-08
Rifampin	FD471	9.24e-08
Sulfonamides	FD471	5.25e-09
Fluoroquinolones	FD471	1.67e-07
Metals	FD471	5.84e-06
Biocides	FD471	1.41e-06
Fluoroquinolone	FD472	6.20e-10
Aminoglycoside	FD472	2.81e-09
Lipopeptide	FD472	5.10e-10
